short_description,number,text
"How to set or change your default web browser
		",KB0000022,"How to set or change your default web browser 
The following setting can be changed only if you have Administrator privileges on your computer.
Change the default programs used in Windows 8
If not already in Desktop mode, enter it by tapping the Windows and the D key at the same time.Move the mouse to the lower-right hand corner of the screen to activate the ""Gadget"" bar and select Settings (gear icon)Select Control PanelSelect ProgramsSelect Default ProgramsClick on Set your default programsLocate and select the web browser you wish to set as your default from the listWith your choice selected, click on Set this program as defaultClick OK to save your settings
Change the default programs used in Windows 7/Windows Vista
Click on the Start ButtonSelect Control PanelSelect ProgramsSelect Default ProgramsClick on Set your default programsLocate and select the web browser you wish to set as your default from the listWith your choice selected click on Set this program as defaultClick OK to save your settings
To make Firefox your default browser
Open FirefoxFrom the Tools pull-down menu select OptionsClick on the Advanced tabIn the area called System Defaults, click on the Check Now button.If Firefox is not set to be your default browser, you will be given the option to make it the default."
"How to configure VPN for Apple Devices
		",KB0000008,"How to configure VPN for Apple Devices
For an iPhone or iPad running iOS?
Select Settings > General > VPN.=Click Add VPN Configuration and enter the following information:Select L2TP.Enter Servicenow VPN in the Description field.Enter vpn-nu.vpn.servicenow.edu in the Server field.Enter your NetID in the Account field.Enter your NetID password in the Password field.Enter servicenow (case sensitive) in the Secret field.Select Save.  To connect to Servicenow VPN, VPN should be turned On. Once you are successfully connected to Servicenow VPN, your screen will look like the following
For Mac OS X Mavericks (10.9), Mountain Lion (10.8) or Lion (10.7)
Open Apple > System Preferences.Select the Network icon in the System Preferences window. Click the + button at the bottom left of the screen to add a new connection. (Note: You may need to click the LOCK icon to enable editing of Network Settings.) 
Select Interface: VPNSelect VPN Type: L2TP over IPSecEnter Service Name: Servicenow VPNClick Create.
From the Network window enter the following information:
Enter Server Address: vpn-nu.vpn.servicenow.edu.Enter Account Name: your NetID.Check the checkbox labelled Show VPN status in menu bar to allow you the opportunity to establish a VPN connection from your menu bar.
Click Authentication Settings.
In the Shared Secret box enter servicenowvpnClick OK.Click Apply.
Click Advanced...
Check the checkbox labelled Send all traffic over VPN connection.Click OK.Click Apply.
"
Getting Around in Windows,KB0000032,"Getting Around in Windows Windows 8.x Windows 8.x is designed for using touch, mouse, and keyboard together, on hardware ranging from touch-enabled tablets and laptops to PCs and all-in-one computers, including those without touch capability.  Start screen and Desktop 8.1: Microsoft updated the Windows 8.1 interface by returning the Start button, providing its ease of access along with the option of the Metro interface. The intent is to provide a seamless experience on desktops, laptops, tablets, and phone devices. By default, the Start screen is displayed. Move your mouse pointer to the bottom left corner of the screen to make the Start button appear. Click it to display the desktop; click it again to display the Start screen. 8: The Start screen has a default application display you can customize: Right-click any app and the Application bar will appear at the bottom, with options for the application you have selected. To add an app to the Start screen, click Pin to Start.    If an application is already on the Start screen, you'll see Unpin from Start instead.  Power User menu The Power User menu displays the most commonly used applications from the Control Panel, File Explorer, and Task Manager, as well as Restart, Run, Search, and Shutdown/Update. Access it in one of the following ways: Press Win-x.In 8.1, right-click the Start button to launch the Power User menu. In 8, move your cursor to the bottom left corner of the screen and right-click. Viewing and closing apps Note: Some applications and features in Windows 8 (e.g., Control Panel, Internet Explorer) have both a Windows 8.x version and a pre-Windows 8 version. Windows 8.x applications (formerly called ""metro"" style applications) have neither close nor minimize buttons; they are designed to run as full-screen applications and cannot be resized. Tap the down arrow to view all apps (similar to viewing all programs in previous versions of Windows).    Alternately, you can right-click an open area of the Start screen, and the Application bar will open at the bottom. Click All apps on the lower right, and a list of all available apps will appear.To close Windows 8.x applications, go to the top of the screen (your cursor will become a hand) and drag down to the bottom of the screen. Search Settings and other Charms Options for accessing the Charms menu: Tap the upper right-hand corner and move down to select a charm.Hover your mouse pointer at the upper right-hand corner of the screen. Then, move your mouse pointer downward to select a charm. The following options will be displayed:  SearchShareStartDevicesSettings  Initiating a search Press Win-q. Type your search term(s) and choose the appropriate result. Typing while in the Start screen initiates a search. For best results, chooseEverywhere from the drop-down menu. Accessing the Control Panel Press Win-i. On the panel that appears on the right, click Change PC Settings. The Windows 8.x version of the Control Panel will appear.From the Start screen, type control panel, and click the resulting Control Panel. Windows 7 Windows 7 does not offer a complete Classic View or Classic Start menu. To use a Classic theme, right-click anywhere on the desktop, and then choose Personalize. Under ""Basic and High Contrast Themes"", select Windows Classic. In Windows 7, there is no Classic View in the Control Panel. Instead, you can switch between Category, Large icons, and Small icons. To customize your Windows 7 Start menu and Taskbar, right-click the Start icon and click Properties.  Windows Vista In Windows Vista, you can choose whether to use the default views for some items (e.g., Start menu, Control Panel) or switch to Classic View. The option to switch is usually visible in the left frame, or by right-clicking and selecting Properties."
"Importing Address Book From CSV File
		",KB0000027,"Outlook 2010 - Importing Address Book From CSV File 

This article explains how to import your address book from a CSV file into Outlook 2010. 

Start Outlook 2010.Select the File menu.Choose Open.Click Import.Select Import from another program or file, then Next from the Import/Export Wizard.Select Comma Separated Values (Windows) , then Next. Choose Browse to navigate to the .csv file that you want to import, and then click Open to return to the Import a File window.Select Next and choose Contacts as the destination folder, and click Next again.Click Finish to import the Address Book."
"How can I secure my Android OS device?
		",KB0000004,"How can I secure my Android OS device? 
To secure the data on your mobile device, you should always use a pattern, PIN, passcode, or password to lock your device. If your device is lost or stolen, this precaution can prevent others from accessing your email, calendar, contacts, and other data.
Setting or changing a screen lock pattern, PIN, or password
From the Home screen, press Menu > Settings > Location & Security. To set a new screen lock pattern, PIN, or password, tap Set up screen lock. To change existing settings, tap Change screen lock. Select one of the following options: 
None: This leaves your device unprotected.Pattern: Your unlock pattern must connect at least four dots on the screen.Pin: Your PIN must be at least four and no more than 16 digits long.Password: Your password must be at least four and no more than 16 characters long, and must contain at least one letter.
Follow the onscreen directions to enter and confirm your pattern, PIN, or password.
By default, when you set a screen lock pattern, PIN, or password, a security lock timer is also set. Use the ""When display is off"" field to manage this setting.
Enabling encryption
Note: You should schedule an hour or more for the encryption process. If you interrupt the process, you will lose some or all of your data. Additionally, before beginning the process, you should:
Set a screen lock pattern, PIN, or password (see instructions in the previous section).Charge the battery.Plug in your device.
To enable encryption on an Android 4.x device:
From the Home or All Apps screen, tap Settings. Under ""Personal"", tap Security/Security & Screen Lock , and then Encrypt device/Encryption/Data Encryption. Tap Encrypt device/phone/tablet. Additionally:
If you see a checkbox for Device Data, tap to select it.If you see a checkbox for Storage (Encrypts files you save to your memory card and internal storage), tap to select it.
Tap Encrypt device/phone/tablet. Note: Encrypt phone/tablet will be dimmed (i.e., unavailable) if your battery is not charged, or your device is not plugged in. To back out of the encryption process, tap Back.Enter your lock screen PIN or password, and then tap Continue. Tap Encrypt device/phone/tablet again.
The encryption process will begin and display its progress. The process can take an hour or more; during that time, your device may restart several times.
When encryption is complete, you'll be prompted to enter your PIN or password. Additionally, you'll need to enter your PIN or password each time you power on your device.
How do I clear all data from my Android OS device?
Warning: The following will delete all data on your device.
To clear all data from your Android OS device:
From the Home screen, tap Menu > Settings > Privacy. Tap Factory data reset. Tap Reset phone."
What is a cookie?		,KB0000007,"What is a cookie?
Cookies are messages that web servers pass to your web browser when you visit Internet sites. Your browser stores each message in a small file, called cookie.txt. When you request another page from the server, your browser sends the cookie back to the server. These files typically contain information about your visit to the web page, as well as any information you've volunteered, such as your name and interests.
Examples of cookies
Cookies are most commonly used to track web site activity. When you visit some sites, the server gives you a cookie that acts as your identification card. Upon each return visit to that site, your browser passes that cookie back to the server. In this way, a web server can gather information about which web pages are used the most, and which pages are gathering the most repeat hits.
Cookies are also used for online shopping. Online stores often use cookies that record any personal information you enter, as well as any items in your electronic shopping cart, so that you don't need to re-enter this information each time you visit the site.
Servers can use cookies to provide personalized web pages. When you select preferences at a site that uses this option, the server places the information in a cookie. When you return, the server uses the information in the cookie to create a customized page for you.
Security concerns
Only the web site that creates a cookie can read it, so other servers do not have access to your information. Additionally, web servers can use only information that you provide or choices that you make while visiting the web site as content in cookies.
Webmasters have always been able to track access to their sites, but cookies make it easier to do so. In some cases, cookies come not from the site you're visiting, but from advertising companies that manage the banner ads for a set of sites. These advertising companies can develop detailed profiles of the people who select ads across their customers' sites.
Accepting a cookie does not give a server access to your computer or any of your personal information (except for any information that you may have purposely given, as with online shopping). Also, it is not possible to execute code from a cookie, and not possible to use a cookie to deliver a virus.
How do I clear my web browser's cache, cookies, and history? 
Notes:
If you don't see instructions below for your specific version or browser, search your browser's Help menu for ""clear cache"". If you're unsure what browser version you're using, from the Help menu, select About [browser name]. InInternet Explorer and Firefox, if you don't see the menu bar, press Alt. When troubleshooting issues with any web site, after clearing your browser's cache and cookies, exit your browser completely before attempting to access the site again. In Windows, close all your browser windows; in Mac OS X, quit (Command-q) your browser.
Android
Start your browser. Tap Menu, and then tap More. Select Settings. Under ""Privacy settings"", select Clear cache, Clear history, or Clear all cookie data as appropriate, and then tap OK to accept (or Cancel to cancel) the deletion.
 Chrome
In the browser bar, enter:    chrome://settings/clearBrowserDataSelect the items you want to clear (e.g., Clear browsing history, Clear download history, Empty the cache, Delete cookies and other site and plug-in data).    From the Obliterate the following items from: drop-down menu, you can choose the period of time for which you want to clear cached information. To clear your entire cache, select the beginning of time.Click Clear browsing data.
Firefox
From the Tools or History menu, select Clear Recent History.    If the menu bar is hidden, press Alt to make it visible.From the Time range to clear: drop-down menu, select the desired range; to clear your entire cache, select Everything. Click the down arrow next to ""Details"" to choose which elements of the history to clear. Click Clear Now.
Internet Explorer 8 and higher
From the Tools or Safety menu, select Delete browsing history....    If the menu bar is hidden, press Alt to make it visible.Deselect Preserve Favorites website data, and select: 
Temporary Internet files or Temporary Internet files and website filesCookies or Cookies and website dataHistory
Click Delete.
Internet Explorer 7
From the Tools menu in the upper right, select Delete Browsing History.... To delete your cache, click Delete files....    To delete your cookies, click Delete cookies....    To delete your history, click Delete history....Click Close, and then click OK to exit.
Mobile Safari for iOS (iPhone, iPod touch, iPad)
To clear cache and cookies:
From the home screen, tap Settings, and then tap Safari. At the bottom of Safari's settings screen, tap Clear cookies and data, orClear Cookies and Clear Cache. Confirm when prompted.
To clear history:
From the home screen, tap Safari.At the bottom of the screen, tap the Bookmarks icon.In the lower left, tap Clear.Tap Clear History.
Opera
From the Opera menu, select Settings, and then Delete Private Data.... In the dialog box that opens, select the items you want to clear, and then clickDelete.
Safari
From the Safari menu, select Reset Safari.... From the menu, select the items you want to reset, and then click Reset. As of Safari 5.1, Remove all website data covers both cookies and cache.
 "
"How do I quit an application that isn't responding?
		",KB0000013," 
How do I quit an application that isn't responding in Mac OS X? 
In Mac OS X, you may occasionally find that applications lock up and do not respond to any commands, including Quit. When this happens, sometimes the only solution is to issue a Force Quit command. Force quitting an application will not save your latest changes, but it will often allow you to revive the misbehaving application without restarting your entire computer.
To force quit an application, from the Apple menu, choose Force Quit.... Select the misbehaving application from the list, and then click Force quit. You can also bring up this window by pressing Command-Option-Esc.
Note: You cannot quit the Finder; the only option available to you is Relaunch, which will reload the Finder.
 "
About Windows Vista,KB0000018," About Windows Vista
Note: If you are migrating from an older operating system, UITS strongly recommends installing Windows 7 rather than Vista. Windows 7 was released three years after Vista and comes with more advanced features and many bug fixes, but has the same hardware requirements. Should you choose to install Vista, use the Windows Vista Upgrade Advisor to make sure your computer is capable of running Vista.
System requirements
Microsoft's system requirements for Vista are listed below.
Microsoft lists Windows Vista hardware requirements in two categories, Vista Capable and Vista Premium Ready. Vista Capable computers are able to run Vista, but may have limitations in the functionality of some features. Vista Capable minimum hardware requirements are as follows:
A modern processor (at least 800 MHz)512 MB of system memoryA graphics processor that is DirectX 9 capable20 GB of hard drive capacity with 15 GB free spaceCD-ROM drive
Vista Premium Ready computers can take full advantage of the features available in Vista, including the Windows Aero advanced graphical interface. Microsoft lists the minimum hardware requirements for Vista Premium as follows:
1 GHz 32-bit (x86) or 64-bit (x64) processor UITS recommends: A dual-core (Core 2) processor 1 GB of system memory UITS recommends: 2 GB system memory A graphics processor that is DirectX 9 capable with Hardware Pixel Shader v2.0 and WDDM Driver support 128 MB of graphics memory UITS recommends: 256 MB graphics memory; non-integrated video card 40 GB of hard drive capacity with 15 GB free space UITS recommends: 80-100 GB capacity DVD-ROM drive Audio output capability Internet access capability
Vista versions
If you're upgrading from Vista Home Premium, you need to upgrade to Vista Ultimate (notVista Business) if you want to keep Windows Media Center. For information about upgrading from an earlier version of Windows, see Microsoft's Installing and reinstalling Windows Vista."
Deleted Email Recovery		,KB0000030,"Deleted Email Recovery
By default, every email deleted from your OWA mailbox goes through the following process:
The email is moved to your Deleted Items folder.If you purge or remove items from your Deleted Items folder they will be moved to the Dumpster where they are still recoverable.The Dumpster only holds email message for 14 days once they've been removed from Deleted Items.
Deleted email can be recovered from the Deleted Items folder or the Dumpster. Once it has been permanently deleted from the dumpster it can not be recovered.
Note: Desktop clients (e.g., Outlook, Entourage, Apple Mail) may be configured to use a local trash system or be configured to purge email from the Deleted Items folder more quickly than 14 days.
Deleted Email Recovery is only available in OWA or Outlook.
Delete Email
When you are ready to delete email from your Inbox, select the email by clicking on it once and then either:
select the Delete icon on the OWA Toolbar,ORright-click and select Delete.Result: The email is moved to Deleted Items
Permanently Delete Email from Deleted Items
Access your mailbox and navigate to Deleted Items.Select the email you want to delete by clicking once on the email to highlight it.
To select a range of emails, single-click on the first email in the range, press down the Shift key, and single-click on the last email in the range.To select random, multiple emails, press down the Ctrl key as you select emails.
Choose the Delete icon on the OWA Toolbar, or right-click and select Delete.OWA asks you to confirm your action. Choose OK to continue, or Cancel to quit the Permanent Delete operation. When OK is selected, there is no chance for email recovery (unless a server backup was performed before the email was permanently deleted).Result: The Delete confirmation window displays.
Permanently Delete Email from Options > Deleted Items
Select Options > Deleted Items.On the Deleted Items page, select the email you wish to delete in the Recover Deleted Items scroll box. Choose the Permanently Delete option above the scroll box.OWA asks you to confirm your action. Choose OK to continue, or Cancel to quit the Permanent Delete operation. When OK is selected, there is no chance for email recovery (unless a server backup was performed before the email was permanently deleted).
Automatically Empty Deleted Items on Log Off
OWA can be configured to empty Deleted Items when the user logs off of OWA. The items will be stored in the Recover Deleted Items scroll box for 14 days.
Select Options > Deleted Items.Check the Empty Deleted Items folder on logoff checkbox.Click Save to save your changes."
"Can I upgrade my operating system? What are the
			system requirements?
		",KB0000014,"Upgrade your Mac Operating System
These are the specs required for upgrading to newer versions o OS X:
Requirements for OS X 10.9 (Mavericks)
OS X 10.9 works with these Macintosh computers:
iMac (Mid 2007 or newer), MacBook (Late 2008 Aluminum, or Early 2009 or newer), MacBook Pro (Mid/Late 2007 or newer), Xserve (Early 2009), MacBook Air (Late 2008 or newer), Mac mini (Early 2009 or newer), Mac Pro (Early 2008 or newer)2GB of memoryOS X v10.6.8 or later8GB of available space

Requirements for OS X 10.8 (Mountain Lion)
OS X 10.8 works with these Macintosh computers:
iMac (Mid 2007 or newer), MacBook (Late 2008 Aluminum, or Early 2009 or newer), MacBook Pro (Mid/Late 2007 or newer), Xserve (Early 2009), MacBook Air (Late 2008 or newer), Mac mini (Early 2009 or newer), Mac Pro (Early 2008 or newer)2GB of memoryOS X v10.6.8 or later already installed8GB of available space

Requirements for Mac OS X 10.7 (Lion)Mac OS X 10.7 works with these Macintosh computers:
Mac computer with an Intel Core 2 Duo, Core i3, Core i5, Core i7, or Xeon processor2GB of memoryOS X v10.6.6 or later (v10.6.8 recommended) already installed7GB of available space

Requirements for Mac OS X 10.6 (Snow Leopard)Mac OS X 10.6 works with these Macintosh computers:
Mac computer with an Intel processor1GB of memory5GB of available disk spaceDVD drive for installation"
"How can I restore my computer to a previous
			configuration?
		",KB0000019,"Restore my computer to a previous configuration
You can use a feature called System Restore to restore your Windows computer to a previous working configuration. To use System Restore, follow the appropriate steps for your operating system.
Note: For help navigating, see Getting around in Windows.
Windows 8.x and 7
In Windows 8.x, press Win-c; from the Charms menu, choose Search, and thenApps. Enter rstrui and select the matching result.      In Windows 7, in the Start menu search field, enter system restore , rstrui , or rstrui.exe and select the matching result.In the resulting System Restore menu, click Next. Choose a restore point that was created before your current configuration stopped working.      Note: If you need to select a restore point that isn't listed, click Show more restore points.Click Next, and then Finish. 
Windows Vista
In the Start menu search field, enter system restore . Click Choose a different restore point, and then click Next. Choose a restore point that was created before your current configuration stopped working. Click Next, and then Finish."
"How do I create and delete users?
		",KB0000015," 
Creating/Deleting users in Mac OS X
To allow users to log into your Mac OS X computer, create an account for each of them.
Creating a new user in Mac OS X
From the Apple menu, select System Preferences.... From the View menu, select Users & Groups (Mac OS X 10.7 or later) orAccounts (Mac OS X 10.6 or earlier). If it's locked, click the padlock in the bottom left corner of the window, and then authenticate as an administrator. Under the list of user accounts, click + (the plus sign). From the menu next to ""New Account:"", select the type of account you want to create. To allow this user to make changes to the system settings, add programs, and perform other system functions beyond basic use, selectAdministrator. For lower access accounts, choose Standard or Managed with Parental Controls as appropriate. Sharing Only and Group are special options for specific needs. For more, refer to your operating system's documentation. Note: Selecting Administrator will give the user the ability to make changes to your system without your approval.In the ""Full Name:"" field, enter the new user's real name. In the ""Account Name:"" or ""Short Name:"" field, enter a username you wish to assign to the user.In the ""Password:"" field, type a password for the user, and then type it again in the ""Verify:"" field. You can optionally set a password hint for the user. For the hint, try to use something only the new user will understand; alternatively, leave this field blank. Click Create User or Create Account.
Deleting a user in Mac OS X
From the Apple menu, select System Preferences.... From the View menu, select Users & Groups (Mac OS X 10.7 and later) orAccounts (Mac OS X 10.6 and earlier). If it's locked, click the padlock in the bottom left corner of the window, and then authenticate as an administrator. Select the name of the user you want to delete, and, under the list of accounts, click - (the minus sign). Choose Save the home folder in a disk image, Don't change the home folder, or Delete the home folder depending on how or whether you want to save the user's data. In Mac OS X 10.7 or later, if you choose to delete the home folder, there is also an Erase home folder securely option. Then, click Delete User or OK."
"Windows: Should I upgrade to Windows 8.x?
		",KB0000020," 
 
Should I upgrade to Windows 8.x? 
Windows 8.x is designed for using touch, mouse, and keyboard together, on hardware ranging from touch-enabled tablets and laptops to PCs and all-in-one computers, including those without touch capability.  To decide whether to upgrade, consider details surrounding system requirements, versions, features related to your own use, and support at IU.
Features
Another noticeable difference is the requirement of a Microsoft account to download apps from the Windows Store and access apps such as Calendar, Mail, and Messaging. By most accounts, Windows 8.x improves performance in areas such as speed, memory management, and power efficiency, resulting in faster boot times, smaller memory footprint, and more free memory for the programs you run. Windows 8.x also suspends apps and desktop programs when a device is put into sleep mode, allowing the CPU to drop into a lower-power state for battery savings. The Task Manager and Explorer have been enhanced, allowing easier views of system resource use, and more useful and functional file management. Windows 8.x comes with improved recovery options, including restoring a device to a clean install state, or performing the equivalent of a factory reset while keeping installed apps and preferences. Both these functions can be performed from a built-in recovery menu.
 
System Requirements
Computers currently running Windows 7 should not have problems running Windows 8.x.



Microsoft recommends

ServiceNow recommends

1 GHz 32-bit (x86) or 64-bit (x64) processor

Dual-core (Core 2) processor

1 GB of system memory (32-bit) or 2 GB of system memory (64-bit)

2 GB of system memory

DirectX 9-capable graphics processor, with Hardware Pixel Shader v2.0 and WDDM 1.0 or higher driver support

 

128 MB of graphics memory

256 MB of graphics memory and a non-integrated video card.

40 GB of hard drive capacity with 16 GB free space (32-bit) or 20 GB free space (64-bit)

80-100 GB of hard drive capacity

DVD-ROM drive

 

Audio output capability

 

Internet access capability

 

Additionally, a new element is the requirement that modern UI applications have a minimum of 1024 x 768 screen resolution, and 1366 x 768 for the snap feature.


 "
About Windows 7,KB0000021,"About Windows 7
Windows 7 is not an upgrade to Windows Vista, but an entirely different operating system. With it, you can expect greater functionality in communication, multimedia, and security, including improved, streamlined User Account Control (UAC) performance with fewer prompts. The interface introduced with Vista, Windows Aero, uses 3D graphics and other high-end visual effects.
System requirements
The minimum hardware requirements for Windows 7 as specified by Microsoft are listed as follows:
1 GHz 32-bit (x86) or 64-bit (x64) processor UITS recommends: A dual-core (Core 2) processor 1 GB of system memory (32-bit) or 2 GB of system memory (64-bit) UITS recommends: 2 GB system memory A graphics processor that is DirectX 9-capable with Hardware Pixel Shader v2.0 and WDDM Driver support128 MB of graphics memory UITS recommends: 256 MB graphics memory; non-integrated video card 40 GB of hard drive capacity with 16 GB free space (32-bit) or 20 GB free space (64-bit) UITS recommends: 80-100 GB capacity DVD-ROM driveAudio output capabilityInternet access capability 
Windows 7 versions and upgrades
The different versions and upgrades include Windows 7 Ultimate; IU departments will use Windows 7 Enterprise.
If you are using any version of Windows 7 or Vista except Enterprise, you can upgrade to Windows 7 Ultimate. For example, if you purchase a new computer from an outside retailer, it might be shipped with Windows 7 Home Premium; you can upgrade to Windows 7 Ultimate if you wish. Departments that use Vista Enterprise can upgrade to Windows 7 Enterprise. If you have Vista Enterprise for personal use, you cannot upgrade that to Windows 7 Enterprise, but you can do a clean install of Windows 7 Ultimate, which will format your hard drive and remove your previous version of Windows. For all other versions of Windows, migrating to Windows 7 will require a clean install. Your upgrade path must be consistent with your system type (i.e., you cannot upgrade from Windows Vista Ultimate 32-bit to Windows 7 Ultimate 64-bit, or from a 64-bit to a 32-bit operating system). "
Microsoft Outlook Issues,KB99999999,"Microsoft Outlook Issues
This article explains how to use automatic replies in Outlook 2010 for Exchange accounts.

Setting Up Automatic Replies
Click the File tab.Click Automatic Replies.Select Send automatic replies.If desired, select the Only send during this time range check box to schedule when your out of office replies are active. If you do not specify a start and end time, auto-replies will be sent until you select the Do not send automatic replies check box.On the Inside My Organization tab, type the response that you want to send to colleagues while you are out of the office.On the Outside My Organization tab, select the Auto-reply to people outside my organization check box, and then type the response that you want to send while you are out of the office. Select whether you want replies sent to My contacts only or to Anyone outside my organization who sends you messages.
NOTE:
If you select My Contacts only in step 6, replies will be sent only to contacts that exist in your Contacts folder.
Using Rules With Automatic Replies
It is also possible to use rules to manage your messages while you are out of office. For example, you can create rules to automatically move or copy messages to other folders, to delete messages, to send custom replies, and so on.
Click the File tab.Click Automatic Replies.Click Rules, and then click Add Rule.Under When a message arrives that meets the following conditions, specify the conditions that the message must meet for the rule to be applied. If you want to specify more conditions, click Advanced, enter or select the options that you want, and then click OK.If you want to specify that this rule must be applied last, select the Do not process subsequent rules check box.Under Perform these actions, select the actions that you want. You can select more than one action.Click OK three times.
NOTES:
Automatic Replies rules can also be edited by following the above procedure.To turn Automatic Replies rules on or off, in the Automatic Reply Rules dialog box, select or clear the check box of the rule that you want to turn on or off.
"
Create And Edit A Contact Group		,KB0000026,"Outlook 2010 - Create And Edit A Contact Group (Formerly Distribution Lists)

This article explains how to create and edit a contact group in Outlook 2010. In previous versions of Outlook, this was known as a distribution list.


A contact group (formerly known as a distribution list) is a grouping of email addresses collected under one name. A message sent to a Contact Group goes to all recipients listed in the group. You can include Contact Groups in messages, task requests, meeting requests, and in other Contact Groups. There is no maximum number of names you can include in a Contact Group.
Create a Contact Group with New Names or Names in the Address Book
In Contacts, on the Home tab, in the New group, click New Contact Group.In the Name box, type a name for the Contact Group.On the Contact Group tab, in the Members group, click Add Members, and then click From Outlook Contacts, From Address Book or New E-mail Contact.If you are adding a new email contact, enter the information for the person in the Add New Memberdialog box. ORIf you are adding a member from Outlook Contacts or an Address Book, do the following:In the Address Book drop-down list, click the address book that contains the email addresses that you want to include in your Contact Group.In the list of names, click the names that you want, and then click Members. You can add names from different address books to the same Contact Group.Do this for each person whom you want to add to the Contact Group, and then click OK. The Contact Group is saved in your Contacts folder under the name that you chose.
Create a Contact Group by Copying Names from an Email Message
In the message that you want to copy the names from, click the names in the To or Cc box (To, Cc, and Bcc boxes: A message is sent to the recipients in the To box. Recipients in the Cc (carbon copy) and Bcc (blind carbon copy) boxes also get the message; however, the names of the recipients in the Bcc box aren't visible to other recipients.).Right-click your selection, and then click Copy.In Mail, on the Home tab, in the New group, click New Items, then click More Items, and then clickContact Group.In the Name box, type a name for the Contact Group.On the Contact Group tab, in the Members group, click Add Members, and then click either From Outlook Contacts or From Address Book.At the bottom of the Select Members dialog box, in the Members box, right-click, and then click Paste.
NOTE:
A member does not need to be in your Address Book in order to be added to the Contact Group. The member's name and email address will be included when you copy and paste from the original email message.
Add an Address from an Address Book or a Contacts Folder
On the Contact Group tab, in the Members group, click Add Members, and then click From Outlook Contacts or From Address Book.In the Address Book drop-down list, click the address book that contains the e-mail addresses that you want in your Contact Group.Browse for the name that you want, or type it in the Search box.In the Name list, click the name, and then click Members. Do this for each person whom you want to add to the Contact Group, and then click OK.
Add an Address that is Not in a Contacts Folder or an Address Book
On the Contact Group tab, in the Members group, click Add Members, and then click New E-mail Contact.Type the information for the email address, and then click OK.
Remove a Contact Group Member
In the list of names, click the name that you want to remove.On the Contact Group tab, in the Members group, click Remove Member."
"Dealing with Spyware and Viruses
		",KB0000006," 
Dealing with Spyware/Adware
Spyware is the generic term for computer software that gathers information about you and your Internet surfing habits for marketing purposes; Adware refers to programs which gather information about you for marketing purposes in order to target your computer with advertisements (often in the form of pop-up windows.) These programs are often difficult to uninstall through traditional un-installation programs and will interfere with the normal performance of your computer's software and/or networking protocol.
Viruses, worms, and Trojan horses
According to Webster's Collegiate Dictionary, a computer virus is ""a computer program usually hidden within another seemingly innocuous program that produces copies of itself and inserts them into other programs or files, and that usually performs a malicious action (such as destroying data)"". Computer viruses are never naturally occurring; they are always man-made. Once created and released, however, their spread is not directly under human control.
Macro viruses: A macro is a piece of code that can be embedded in a data file. A macro virus is thus a virus that exists as a macro attached to a data file. In most respects, macro viruses are like all other viruses. The main difference is that they are attached to data files (i.e., documents) rather than executable programs.
Document-based viruses are, and will likely continue to be, more prevalent than any other type of virus.
Worms: Worms are very similar to viruses in that they are computer programs that replicate functional copies of themselves (usually to other computer systems via network connections) and often, but not always, contain some functionality that will interfere with the normal use of a computer or a program. Unlike viruses, however, worms exist as separate entities; they do not attach themselves to other files or programs. Because of their similarity to viruses, worms also are often referred to as viruses. Trojan horses: A Trojan horse is a program that does something undocumented which the programmer intended, but that users would not accept if they knew about it. By some definitions, a virus is a particular case of a Trojan horse, namely, one which is able to spread to other programs (i.e., it turns them into Trojans too). According to others, a virus that does not do any deliberate damage (other than merely replicating) is not a Trojan. Finally, despite the definitions, many people use the term ""Trojan"" to refer only to a non-replicating malicious program.
 
Fortunately, there are many options for prevention and the safe removal of Spyware/Adware from your computer:
Preventing Spyware / AdwareChoose programs carefully. Often free or trial programs downloaded from the Internet contain spyware/adware to fund the creators of the programs. The most common Spyware/Adware programs are installed with peer-to-peer sharing software such as Kazaa, Bearshare, and Limewire. Reading the license agreement and ""Read Me"" files of these programs will often indicate the installation of additional programs. Protect yourself by knowing your options. Some programs will allow you to customize the installation, whereas others such as Kazaa's latest version cannot be installed without Spyware/Adware.
Protect yourself by knowing that there are other dangers for users of these programs; particularly for those who do not understand how the software is structured to operate or for those who are not careful to share only files they own legally.
Do not click on unfamiliar links in pop-up windows. Spyware/Adware creators will disguise links in their pop-up windows. The safest way to close a pop-up windows is to right-click on it in your taskbar and choose Close or select the active window and use Alt + F4 on your keyboard.
Removing SpyWare / AdwareMany Spyware/Adware removal programs are free to download and use. The Solution Center has found success with a free program called Spybot, as well as Microsoft's AntiSpyWare. OIT advises that novice users request technical assistance when installing and using these programs. See ""Obtaining Technical Assistance"" below. Should you choose to use Spybot without assistance, read the directions online which remind you to back up your registry first, and then update the Spybot definition files before scanning your hard drive. 
 "
